         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      182    0.002    0.000    0.018    0.000 atom.py:427(from_kind)
       56    0.002    0.000    0.096    0.002 pytables.py:4420(_convert_index)
      140    0.002    0.000    0.003    0.000 {method 'clear' of 'dict' objects}
      154    0.002    0.000    0.024    0.000 series.py:3095(_sanitize_array)
      840    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       14    0.002    0.000   21.410    1.529 frame.py:6365(_list_of_dict_to_arrays)
     1022    0.002    0.000    0.077    0.000 utils.py:238(newfget)
       56    0.002    0.000    0.002    0.000 {built-in method pandas._libs.algos.ensure_platform_int}
      154    0.002    0.000    0.305    0.002 file.py:1548(get_node)
       42    0.002    0.000    0.199    0.005 group.py:340(_g_add_children_names)
       28    0.002    0.000    0.025    0.001 <frozen importlib._bootstrap>:870(_find_spec)
       14    0.002    0.000    0.002    0.000 {method '_g_create' of 'tables.hdf5extension.Group' objects}
       70    0.002    0.000    0.388    0.006 array.py:130(__init__)
      112    0.002    0.000    0.180    0.002 cast.py:838(maybe_infer_to_datetimelike)
      224    0.002    0.000    0.004    0.000 atom.py:59(split_type)
      882    0.002    0.000    0.004    0.000 dtypes.py:85(is_dtype)
      252    0.002    0.000    0.004    0.000 atom.py:143(_normalize_default)
      126    0.002    0.000    0.002    0.000 {method '_g_list_attr' of 'tables.hdf5extension.AttributeSet' objects}
       14    0.002    0.000    0.220    0.016 internals.py:4640(form_blocks)
      896    0.002    0.000    0.004    0.000 attributeset.py:68(<listcomp>)
      196    0.002    0.000    0.018    0.000 group.py:418(__contains__)
      364    0.002    0.000    0.002    0.000 proxydict.py:42(__setitem__)
      112    0.002    0.000    0.008    0.000 node.py:348(_g_set_location)
      140    0.002    0.000    0.009    0.000 node.py:470(_f_close)
     1680    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      126    0.002    0.000    0.005    0.000 node.py:430(_g_del_location)
      140    0.002    0.000    0.019    0.000 group.py:684(_f_get_child)
       14    0.002    0.000    0.002    0.000 {method '_g_get_gchild_attr' of 'tables.hdf5extension.Group' objects}
       70    0.002    0.000    0.462    0.007 file.py:1063(create_array)
       14    0.002    0.000    0.187    0.013 file.py:748(__init__)
      924    0.002    0.000    0.027    0.000 attributeset.py:200(_v_node)
      182    0.002    0.000    0.023    0.000 atom.py:355(from_dtype)
       28    0.002    0.000    0.008    0.000 base.py:181(__new__)
       42    0.002    0.000    0.002    0.000 {built-in method posix.urandom}
       70    0.002    0.000    1.767    0.025 frame.py:6390(convert)
      490    0.002    0.000    0.002    0.000 common.py:1773(_get_dtype_type)
       98    0.001    0.000    0.005    0.000 internals.py:2071(__init__)
      896    0.001    0.000    0.033    0.000 _methods.py:34(_prod)
      336    0.001    0.000    0.002    0.000 range.py:469(__len__)
       14    0.001    0.000    0.001    0.000 {tables.utilsextension.read_f_attr}
       28    0.001    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1117(_get_spec)
      168    0.001    0.000    0.046    0.000 file.py:500(_close_nodes)
       42    0.001    0.000    0.001    0.000 {pandas._libs.lib.isnaobj}
       84    0.001    0.000    0.044    0.001 leaf.py:309(_g_post_init_hook)
       84    0.001    0.000    0.416    0.005 leaf.py:241(__init__)
       14    0.001    0.000    0.024    0.002 vlarray.py:379(_g_create)
       42    0.001    0.000    0.051    0.001 file.py:531(close_subtree)
      126    0.001    0.000    0.003    0.000 weakref.py:165(__setitem__)
      210    0.001    0.000    0.002    0.000 weakref.py:217(keys)
       84    0.001    0.000    0.003    0.000 generic.py:3616(__setattr__)
      476    0.001    0.000    0.004    0.000 common.py:478(is_categorical_dtype)
       42    0.001    0.000    0.006    0.000 missing.py:123(_isna_ndarraylike)
       70    0.001    0.000    0.002    0.000 array.py:112(rowsize)
       84    0.001    0.000    0.001    0.000 filters.py:314(__init__)
      112    0.001    0.000    0.006    0.000 internals.py:107(__init__)
     1554    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       42    0.001    0.000    0.018    0.000 strings.py:1394(_wrap_result)
      602    0.001    0.000    0.001    0.000 node.py:336(_g_check_open)
      182    0.001    0.000    0.219    0.001 group.py:809(__getattr__)
       14    0.001    0.000    2.320    0.166 atom.py:1085(toarray)
       14    0.001    0.000    0.003    0.000 internals.py:3109(_rebuild_blknos_and_blklocs)
       84    0.001    0.000    0.040    0.000 leaf.py:729(_f_close)
       14    0.001    0.000    3.788    0.271 pytables.py:1291(_write_to_group)
      140    0.001    0.000    0.018    0.000 atom.py:400(from_type)
      294    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      840    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      112    0.001    0.000    0.003    0.000 internals.py:226(mgr_locs)
      588    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    56/28    0.001    0.000    0.030    0.001 <frozen importlib._bootstrap>:966(_find_and_load)
      182    0.001    0.000    0.002    0.000 abc.py:178(__instancecheck__)
       28    0.001    0.000    0.002    0.000 numeric.py:660(require)
       14    0.001    0.000   22.168    1.583 frame.py:316(__init__)
      154    0.001    0.000    0.019    0.000 series.py:3112(_try_cast)
      182    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
       98    0.001    0.000    0.001    0.000 generic.py:120(__init__)
      210    0.001    0.000    0.014    0.000 base.py:588(values)
       84    0.001    0.000    0.009    0.000 internals.py:4358(__init__)
       14    0.001    0.000    0.002    0.000 file.py:762(<listcomp>)
       14    0.001    0.000    2.387    0.171 vlarray.py:502(append)
       56    0.001    0.000    0.004    0.000 common.py:207(_default_index)
     1568    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
