         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.000    0.000 filters.py:179(shuffle_bitshuffle)
       14    0.000    0.000    0.002    0.000 base.py:2018(equals)
       14    0.000    0.000    0.001    0.000 group.py:178(_g_getfilters)
       42    0.000    0.000    0.000    0.000 {method '_g_new' of 'tables.hdf5extension.Node' objects}
       14    0.000    0.000    0.000    0.000 base.py:1594(_engine)
       14    0.000    0.000    0.012    0.001 range.py:157(_data)
       14    0.000    0.000    0.000    0.000 vlarray.py:346(_g_post_init_hook)
       14    0.000    0.000    0.002    0.000 group.py:284(_g_get_child_group_class)
      196    0.000    0.000    0.000    0.000 pytables.py:2631(<genexpr>)
       56    0.000    0.000    0.000    0.000 pytables.py:62(_ensure_decoded)
      196    0.000    0.000    0.000    0.000 internals.py:307(dtype)
       14    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.array_equivalent_object}
       14    0.000    0.000    0.001    0.000 pytables.py:2225(__init__)
       14    0.000    0.000    0.000    0.000 pytables.py:2241(<listcomp>)
       42    0.000    0.000    0.001    0.000 internals.py:3219(__len__)
       14    0.000    0.000    0.000    0.000 file.py:115(remove)
       42    0.000    0.000    0.000    0.000 common.py:1456(is_string_like_dtype)
       56    0.000    0.000    0.000    0.000 pytables.py:1188(_check_if_open)
       14    0.000    0.000    0.000    0.000 config.py:78(_get_single_key)
       84    0.000    0.000    0.000    0.000 pytables.py:243(_tables)
       42    0.000    0.000    0.000    0.000 iostream.py:87(_event_pipe)
       42    0.000    0.000    0.000    0.000 codecs.py:942(getencoder)
       28    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1149(find_spec)
       14    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      126    0.000    0.000    0.000    0.000 {method '_g_new' of 'tables.hdf5extension.AttributeSet' objects}
       42    0.000    0.000    0.001    0.000 generic.py:1116(<genexpr>)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       14    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
       14    0.000    0.000    0.196    0.014 group.py:170(_g_getnchildren)
       28    0.000    0.000    0.000    0.000 generic.py:359(_get_axis_name)
       14    0.000    0.000    0.261    0.019 node.py:532(_f_remove)
       14    0.000    0.000    0.000    0.000 internals.py:3527(_consolidate_check)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       14    0.000    0.000    0.073    0.005 file.py:1992(__contains__)
      126    0.000    0.000    0.001    0.000 internals.py:3055(<genexpr>)
       14    0.000    0.000    0.000    0.000 config.py:547(_get_root)
       42    0.000    0.000    0.000    0.000 threading.py:1062(_wait_for_tstate_lock)
       14    0.000    0.000    0.001    0.000 generic.py:1077(empty)
       28    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       14    0.000    0.000    3.789    0.271 pytables.py:275(<lambda>)
       28    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
       28    0.000    0.000    0.000    0.000 iostream.py:284(_is_master_process)
       42    0.000    0.000    0.000    0.000 base.py:563(__array__)
       56    0.000    0.000    0.000    0.000 inspect.py:2755(<genexpr>)
       14    0.000    0.000    0.005    0.000 pytables.py:2430(set_attrs)
       56    0.000    0.000    0.000    0.000 six.py:184(find_module)
       42    0.000    0.000    0.000    0.000 base.py:140(_freeze)
       84    0.000    0.000    0.000    0.000 weakref.py:125(_commit_removals)
       56    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      112    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       14    0.000    0.000    0.262    0.019 file.py:1740(remove_node)
       28    0.000    0.000    0.000    0.000 base.py:1843(_assert_take_fillable)
       56    0.000    0.000    0.000    0.000 common.py:238(_all_none)
       28    0.000    0.000    0.000    0.000 config.py:562(_get_deprecated_option)
       14    0.000    0.000    0.000    0.000 inspect.py:485(unwrap)
       14    0.000    0.000    0.000    0.000 inspect.py:2793(replace)
       14    0.000    0.000    0.000    0.000 file.py:123(get_handlers_by_name)
       28    0.000    0.000    0.000    0.000 six.py:586(iteritems)
       14    0.000    0.000    0.000    0.000 weakref.py:288(update)
       14    0.000    0.000    0.000    0.000 file.py:111(add)
       14    0.000    0.000    0.001    0.000 utils.py:91(convert_to_np_atom)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       42    0.000    0.000    0.008    0.000 missing.py:26(isna)
      112    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       56    0.000    0.000    0.000    0.000 base.py:578(dtype)
       42    0.000    0.000    0.000    0.000 internals.py:3057(ndim)
       28    0.000    0.000    0.001    0.000 iostream.py:297(_schedule_flush)
       14    0.000    0.000    0.000    0.000 internals.py:3013(<listcomp>)
       28    0.000    0.000    0.000    0.000 generic.py:372(_get_axis)
      112    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       28    0.000    0.000    0.001    0.000 common.py:1009(is_datetime64_any_dtype)
       28    0.000    0.000    0.000    0.000 {pandas._libs.lib.values_from_object}
       14    0.000    0.000    0.000    0.000 atom.py:606(<listcomp>)
       14    0.000    0.000    0.000    0.000 pytables.py:1192(_validate_format)
       14    0.000    0.000    0.001    0.000 group.py:551(_g_unrefnode)
       28    0.000    0.000    0.000    0.000 common.py:1493(is_float_dtype)
       28    0.000    0.000    0.000    0.000 {built-in method math.log10}
       14    0.000    0.000    0.001    0.000 config.py:96(_get_option)
       14    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       28    0.000    0.000    0.000    0.000 common.py:824(is_signed_integer_dtype)
       42    0.000    0.000    0.000    0.000 internals.py:3236(<genexpr>)
       14    0.000    0.000    0.523    0.037 pytables.py:520(__exit__)
       14    0.000    0.000    0.003    0.000 inspect.py:2779(from_callable)
       28    0.000    0.000    0.000    0.000 internals.py:4805(_shape_compat)
       14    0.000    0.000    0.000    0.000 internals.py:3528(<listcomp>)
       28    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       84    0.000    0.000    0.000    0.000 node.py:453(_g_post_init_hook)
       42    0.000    0.000    0.000    0.000 atom.py:630(itemsize)
       14    0.000    0.000    0.000    0.000 leaf.py:32(csformula)
       42    0.000    0.000    0.000    0.000 atom.py:609(<genexpr>)
       28    0.000    0.000    0.000    0.000 base.py:735(<listcomp>)
       14    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       28    0.000    0.000    0.000    0.000 common.py:873(is_unsigned_integer_dtype)
       28    0.000    0.000    0.000    0.000 pytables.py:472(root)
       56    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       14    0.000    0.000    0.001    0.000 flavor.py:201(array_of_flavor)
       42    0.000    0.000    0.001    0.000 series.py:483(__len__)
       42    0.000    0.000    0.000    0.000 file.py:546(<listcomp>)
       56    0.000    0.000    0.000    0.000 pytables.py:2252(format_type)
       14    0.000    0.000    0.001    0.000 config.py:223(__call__)
      126    0.000    0.000    0.000    0.000 attributeset.py:660(_g_close)
       56    0.000    0.000    0.000    0.000 internals.py:4768(<lambda>)
       14    0.000    0.000    0.003    0.000 inspect.py:3031(signature)
       28    0.000    0.000    0.001    0.000 _methods.py:31(_sum)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       14    0.000    0.000    0.000    0.000 base.py:1597(<lambda>)
       84    0.000    0.000    0.000    0.000 internals.py:155(external_values)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       28    0.000    0.000    0.000    0.000 weakref.py:148(__len__)
       28    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
       28    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       28    0.000    0.000    0.000    0.000 base.py:593(get_values)
       14    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       28    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
       14    0.000    0.000    0.005    0.000 pytables.py:2440(write)
       28    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       28    0.000    0.000    0.000    0.000 internals.py:3519(is_consolidated)
       28    0.000    0.000    0.000    0.000 internals.py:299(shape)
       84    0.000    0.000    0.000    0.000 inspect.py:2492(kind)
       56    0.000    0.000    0.000    0.000 range.py:146(_validate_dtype)
       14    0.000    0.000    0.000    0.000 config.py:529(_select_options)
       14    0.000    0.000    0.000    0.000 utils.py:41(correct_byteorder)
       42    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       14    0.000    0.000    0.001    0.000 base.py:1623(inferred_type)
       70    0.000    0.000    0.000    0.000 inspect.py:2480(name)
       84    0.000    0.000    0.000    0.000 numeric.py:99(is_all_dates)
       14    0.000    0.000    0.000    0.000 config.py:603(_warn_if_deprecated)
       28    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       14    0.000    0.000    0.000    0.000 internals.py:3824(_consolidate_inplace)
       42    0.000    0.000    0.000    0.000 threading.py:506(is_set)
       42    0.000    0.000    0.000    0.000 series.py:284(_constructor)
       14    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       14    0.000    0.000    0.000    0.000 leaf.py:42(limit_es)
       14    0.000    0.000    0.000    0.000 base.py:531(is_)
       14    0.000    0.000    0.000    0.000 inference.py:338(is_named_tuple)
       14    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       56    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_integer}
       14    0.000    0.000    0.000    0.000 _methods.py:37(_any)
       28    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       14    0.000    0.000    0.000    0.000 leaf.py:149(chunkshape)
       14    0.000    0.000    0.000    0.000 {method '_get_file_id' of 'tables.hdf5extension.File' objects}
       14    0.000    0.000    0.000    0.000 pytables.py:69(_ensure_encoding)
       28    0.000    0.000    0.000    0.000 file.py:180(_checkfilters)
       14    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
       28    0.000    0.000    0.000    0.000 inspect.py:2785(parameters)
       14    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 config.py:590(_translate_key)
       14    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       14    0.000    0.000    0.000    0.000 file.py:765(<listcomp>)
       14    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       14    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       14    0.000    0.000    0.000    0.000 utils.py:61(set_vml_num_threads)
       28    0.000    0.000    0.000    0.000 inspect.py:2484(default)
       14    0.000    0.000    0.000    0.000 file.py:769(<listcomp>)
       14    0.000    0.000    0.000    0.000 pytables.py:517(__enter__)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       14    0.000    0.000    0.000    0.000 __init__.py:257(u_safe)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
